College,email,Country
Bangabandhu Sheikh Mujibur Rahman Medical University,bsmmu.edu.bd,Bangladesh
Bangabandhu Sheikh Mujibur Rahman Agricultural University,bsmrau.edu.bd,Bangladesh
Bangladesh University of Business & Technology,bubt.edu.bd,Bangladesh
Bangladesh University,bu.edu.bd,Bangladesh
Bangladesh University of Engineering and Technology,buet.ac.bd,Bangladesh
Bangladesh University of Professionals,bup.edu.bd,Bangladesh
Bangladesh University of Textiles,butex.edu.bd,Bangladesh
City University,cityuniversity.edu.bd,Bangladesh
Comilla University,cou.ac.bd,Bangladesh
University of Chittagong,cu.ac.bd,Bangladesh
Chittagong University of Engineering and Technology,cuet.ac.bd,Bangladesh
Daffodil International University,daffodilvarsity.edu.bd,Bangladesh
Darul Ihsan University,diu.ac.bd,Bangladesh
Dhaka International University,diu.net.bd,Bangladesh
University of Dhaka,du.ac.bd,Bangladesh
Dhaka University of Engineering and Technology,duet.ac.bd,Bangladesh
East Delta University,eastdelta.edu.bd,Bangladesh
Eastern University,easternuni.edu.bd,Bangladesh
East West University,ewubd.edu,Bangladesh
"East-West University, Mohakhali",ewubd.edu,Bangladesh
Green University of Bangladesh,green.edu.bd,Bangladesh
Hajee Mohammad Danesh Science and Technology University,hstu.ac.bd,Bangladesh
IBAIS University,ibaisuniv.edu.bd,Bangladesh
International Culture University,icu-edu.org,Bangladesh
International Islamic University Chittagong,iiuc.ac.bd,Bangladesh
Islamic University Kushtia,iu.ac.bd,Bangladesh
International University of Business Agriculture and Technology,iubat.edu,Bangladesh
"Independent University, Bangladesh",iub.edu.bd,Bangladesh
Islamic University of Technology,iutoic-dhaka.edu,Bangladesh
Jatiya Kabi Kazi Nazrul Islam University,jkkniu.edu.bd,Bangladesh
Jagannath University,jnu.ac.bd,Bangladesh
Jahangirnagar University,juniv.edu,Bangladesh
Khulna University,ku.ac.bd,Bangladesh
Khulna University of Engineering And Technology,kuet.ac.bd,Bangladesh
Leading University,lus.ac.bd,Bangladesh
Manarat International University,manarat.ac.bd,Bangladesh
